Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L1d/assoc/4/bzip	1.668197	0.013381	0.000075	0.316599
L1d/assoc/8/bzip	1.662058	0.012774	0.000075	0.333113
L1d/assoc/16/bzip	1.658426	0.012439	0.000075	0.342989
L1d/assoc/4/mcf	1.109417	0.001949	0.000037	0.758181
L1d/assoc/8/mcf	1.109409	0.001933	0.000037	0.764182
L1d/assoc/16/mcf	1.109297	0.001902	0.000037	0.773257
L1d/assoc/4/hmmer	1.187073	0.001617	0.000204	0.083417
L1d/assoc/8/hmmer	1.187024	0.001668	0.000204	0.080944
L1d/assoc/16/hmmer	1.186984	0.001670	0.000204	0.080844
L1d/assoc/4/sjeng	10.276542	0.121829	0.000020	0.999980
L1d/assoc/8/sjeng	10.276963	0.121829	0.000020	0.999980
L1d/assoc/16/sjeng	10.276247	0.121829	0.000020	0.999980
L1d/assoc/4/speclibm	3.495573	0.060971	0.000098	0.999927
L1d/assoc/8/speclibm	3.495573	0.060971	0.000098	0.999927
L1d/assoc/16/speclibm	3.495573	0.060971	0.000098	0.999927
