Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L1d/size/32/bzip	1.710852	0.017981	0.000075	0.230189
L1d/size/64/bzip	1.676947	0.014289	0.000075	0.294749
L1d/size/128/bzip	1.648440	0.011293	0.000075	0.381813
L1d/size/32/l1specmcf	1.110188	0.002405	0.000037	0.621865
L1d/size/64/l1specmcf	1.109419	0.002038	0.000037	0.727788
L1d/size/128/l1specmcf	1.109142	0.001907	0.000037	0.774229
L1d/size/32/hmmer	1.189566	0.002163	0.000204	0.062329
L1d/size/64/hmmer	1.188197	0.001692	0.000204	0.079948
L1d/size/128/hmmer	1.185345	0.000675	0.000204	0.199051
L1d/size/32/sjeng	10.276566	0.121831	0.000020	0.999957
L1d/size/64/specsjeng	10.276385	0.121829	0.000020	0.999979
L1d/size/128/specsjeng	10.274565	0.121829	0.000020	0.999983
L1d/size/32/libm	3.495573	0.060971	0.000098	0.999927
L1d/size/64/libm	3.495573	0.060971	0.000098	0.999927
L1d/size/128/libm	3.495573	0.060971	0.000098	0.999927
