Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L1i/assoc/4/bzip	1.676825	0.014290	0.000067	0.294797
L1i/assoc/8/bzip	1.676981	0.014290	0.000066	0.294802
L1i/assoc/16/bzip	1.676572	0.014290	0.000066	0.294798
L1i/assoc/4/mcf	1.109417	0.002038	0.000020	0.734245
L1i/assoc/8/mcf	1.109388	0.002038	0.000019	0.734426
L1i/assoc/16/mcf	1.109388	0.002038	0.000019	0.734426
L1i/assoc/4/hmmer	1.187998	0.001692	0.000104	0.081916
L1i/assoc/8/hmmer	1.187996	0.001692	0.000092	0.082137
L1i/assoc/16/hmmer	1.187996	0.001692	0.000091	0.082177
L1i/assoc/4/sjeng	10.276891	0.121829	0.000019	0.999983
L1i/assoc/8/sjeng	10.276068	0.121829	0.000019	0.999984
L1i/assoc/16/sjeng	10.276268	0.121829	0.000018	0.999985
L1i/assoc/4/speclibm	3.495153	0.060971	0.000087	0.999972
L1i/assoc/8/speclibm	3.495153	0.060971	0.000085	0.999980
L1i/assoc/16/speclibm	3.495153	0.060971	0.000085	0.999982
