Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L1i/size/32/bzip	1.676947	0.014289	0.000075	0.294749
L1i/size/64/bzip	1.676618	0.014290	0.000070	0.294747
L1i/size/128/bzip	1.676571	0.014291	0.000067	0.294754
L1i/size/32/l1specmcf	1.109419	0.002038	0.000037	0.727788
L1i/size/64/l1specmcf	1.109388	0.002038	0.000019	0.734329
L1i/size/128/l1specmcf	1.109434	0.002038	0.000019	0.734426
L1i/size/32/hmmer	1.188197	0.001692	0.000204	0.079948
L1i/size/64/hmmer	1.187996	0.001691	0.000103	0.081976
L1i/size/128/hmmer	1.187996	0.001692	0.000082	0.082389
L1i/size/32/sjeng	10.276385	0.121829	0.000020	0.999979
L1i/size/64/sjeng	10.276572	0.121829	0.000018	0.999985
L1i/size/128/sjeng	10.276069	0.121829	0.000018	0.999985
L1i/size/32/libm	3.495573	0.060971	0.000098	0.999927
L1i/size/64/libm	3.495153	0.060971	0.000087	0.999970
L1i/size/128/libm	3.495153	0.060971	0.000086	0.999978
