Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L2/assoc/4/bzip	1.675758	0.014286	0.000075	0.294828
L2/assoc/16/bzip	1.677165	0.014293	0.000075	0.294848
L2/assoc/32/bzip	1.677243	0.014293	0.000075	0.294746
L2/assoc/4/mcf	1.109410	0.002038	0.000037	0.728031
L2/assoc/16/mcf	1.109439	0.002038	0.000037	0.727863
L2/assoc/32/mcf	1.109410	0.002038	0.000037	0.727919
L2/assoc/4/hmmer	1.188197	0.001692	0.000204	0.079948
L2/assoc/16/hmmer	1.188197	0.001692	0.000204	0.079948
L2/assoc/32/hmmer	1.188197	0.001692	0.000204	0.079948
L2/assoc/4/sjeng	10.276302	0.121829	0.000020	0.999979
L2/assoc/16/sjeng	10.276725	0.121829	0.000020	0.999979
L2/assoc/32/sjeng	10.273894	0.121829	0.000020	0.999979
L2/assoc/4/speclibm	3.495573	0.060971	0.000098	0.999927
L2/assoc/16/speclibm	3.495573	0.060971	0.000098	0.999927
L2/assoc/32/speclibm	3.495573	0.060971	0.000098	0.999927
