Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
L2/SIZE/512/bzip	1.760280	0.014282	0.000075	0.406336
L2/SIZE/4/specbzip	1.649316	0.014288	0.000075	0.263535
L2/SIZE/512/mcf	1.117702	0.002038	0.000037	0.839797
L2/SIZE/4/specmcf	1.109120	0.002038	0.000037	0.725068
L2/SIZE/512/hmmer	1.188197	0.001692	0.000204	0.079948
L2/SIZE/4/spechmmer	1.188197	0.001692	0.000204	0.079948
L2/SIZE/512/sjeng	10.281658	0.121829	0.000020	0.999979
L2/SIZE/4/specsjeng	10.270363	0.121829	0.000020	0.999979
L2/SIZE/512/speclibm	3.498891	0.060971	0.000098	0.999927
L2/SIZE/4/speclibm	3.498620	0.060971	0.000098	0.999927
